Sample ID	Input Reads	Uniquely Mapped Reads
MO_1287-capt-SI_7686-C33JEACXX	66830105	53727835
MO_1288-capt-SI_7733-C32VAACXX	63849582	48660593
MO_1289-capt-SI_7734-C32VAACXX	62919242	48947410
MO_1292-capt-SI_7736-C32VAACXX	52799955	44794419
MO_1298-capt-SI_7847-C3Y81ACXX	63566916	51507160
MO_1300-capt-SI_11907-C7F4VANXX	52731326	43087169
MO_1300-capt-SI_11908-C7F4VANXX	63463630	53956666
MO_1300-capt-SI_7948-C4DCWACXX	64209106	50536964
MO_1301-capt-SI_7916-C4CRJACXX	58525759	47901644
MO_1302-capt-SI_7873-C4CRLACXX	63760872	55868587
MO_1302-capt-SI_8197-C4L32ACXX	58722952	46487837
MO_1302-capt-SI_8198-C4L32ACXX	58535434	47079619
MO_1305-capt-SI_7919-C4CRJACXX	70598159	56510131
MO_1317-capt-SI_7994-C475EANXX	75921086	60417886
MO_1317-capt-SI_7994-C4CW0ACXX	123821158	97216245
MO_1318-capt-SI_7995-C4CW0ACXX	120990896	101118482
MO_1320-capt-SI_8080-C4CUUACXX	58935388	49908562
MO_1323-capt-SI_8128-C4E6CACXX	53217319	41166626
MO_1324-capt-SI_8129-C4E6CACXX	65143184	51753028
MO_1330-capt-SI_8190-C4JLUACXX	57175313	43561366
MO_1335-capt-SI_8245-C471RANXX	44182085	38460365
MO_1355-capt-SI_8457-C4L7VACXX	63111865	47685939
MO_1359-capt-SI_8460-C4L7VACXX	61143664	47902340
MO_1364-capt-SI_8599-HAABDADXX	53783417	39198080
MO_1384-capt-SI_8721-C46NFANXX	76578426	55319717
MO_1386-capt-SI_8763-C4018ANXX	70890227	55945476
MO_1387-capt-SI_8841-C4730ANXX	65195190	45763761
MO_1399-capt-SI_8888-C470TANXX	64188965	42297723
MO_1411-capt-SI_9312-C5N2AANXX	64416293	47951005
MO_1415-capt-SI_9227-C4R00ANXX	65787078	50046893
MO_1418-capt-SI_11910-C7F4VANXX	59525749	48550379
MO_1418-capt-SI_9313-C5N2AANXX	76425785	58789164
MO_1424-capt-SI_9381-C5N1GANXX	65411872	50025517
MO_1425-capt-SI_9475-C5N19ANXX	65970793	53847813
MO_1426-capt-SI_9476-C5N19ANXX	79400024	60308257
MO_1427-capt-SI_9477-C5N19ANXX	60513434	52079862
MO_1435-capt-SI_9690-C5N0MANXX	63100713	49002728
MO_1439-capt-SI_9741-C5N0KANXX	65027491	44413606
MO_1444-capt-SI_9807-C5N31ANXX	67099453	50850990
MO_1454-capt-SI_9940-C6EJUANXX	69698907	51517209
MO_1455-capt-SI_9989-C6EL5ANXX	65599632	40938703
MO_1474-capt-SI_10595-C6JKTANXX	66480059	45577862
MO_1495-capt-SI_11221-C6UTYANXX	65033093	44181401
MO_1503-capt-SI_11316-C6UY8ANXX	75688195	57911395
MO_1509-capt-SI_11425-HV7YWADXX	92814871	70029666
MO_1513-capt-SI_11383-HVGHMADXX	62303019	45999586
MO_1515-capt-SI_11438-HV7JNADXX	64966212	49032388
MO_1516-capt-SI_11439-HV7JNADXX	56096075	42666405
MO_1521-capt-SI_11539-C7GBMANXX	65167429	50069159
MO_1524-capt-SI_11625-C7G67ANXX	73547481	54432223
MO_1527-capt-SI_11627-C7G67ANXX	67747306	42963513
MO_1528-capt-SI_11541-C7GBMANXX	70273082	62694213
MO_1533-capt-SI_11827-C7F4VANXX	44357701	26184714
MO_1534-capt-SI_11904-C7F4VANXX	51355668	36366212
MO_1536-capt-SI_11944-C7G8DANXX	54258769	37041977
MO_1537-capt-SI_12026-C7FVYANXX	56713064	41416745
MO_1540-capt-SI_12051-H53C5ADXX	59973189	41488315
MO_1551-capt-SI_12338-C7FN8ANXX	53929741	35222172
MO_1557-capt-SI_12474-C7G91ANXX	32534220	21914203
MO_1562-capt-SI_12573-H3Y7YADXX	72600531	41098216
TP_2004-capt-SI_5851-C19GBACXX	73051280	62141340
TP_2015-capt-SI_6027-D1E7VACXX	69117913	51151278
TP_2025-capt-SI_6023-D1EBEACXX	69576928	58752286
TP_2083-capt-SI_10418-C6ET2ANXX	81625345	59011956
TP_2109-capt-SI_11417-C6UUUANXX	64569509	49834279
TP_2109-capt-SI_11418-C6UUUANXX	75115099	55310519
TP_2109-capt-SI_11419-C6UUUANXX	74999060	57431424
TP_2109-capt-SI_11420-C6UUUANXX	83858431	65392233
TP_2118-capt-SI_11547-C7GBMANXX	65219752	58746813
TP_2122-capt-SI_11543-C7GBMANXX	65551318	48558543
TP_2141-capt-SI_12056-H53C5ADXX	58569522	41530018
MO_1382-capt-SI_8698-C46V9ANXX	66846965	53125369
ES_5005-capt-SI_5505-D130HACXX	60849175	47849991
MO_1283-capt-SI_7657-D2GGHACXX	62110325	49925158
PO_3084-capt-SI_8605-C5A4VACXX	63518977	47030437
ES_5004-capt-SI_5383-D12U3ACXX	91049231	81081017
ES_5004-capt-SI_5834-C19KEACXX	77155093	63077889
Human_Normal_Tissues-capt-SI_13203-C8LJ8ANXX	38773571	23302138
MO_1048-capt-SI_5058-D0UTEACXX	86288073	69150145
MO_1073-capt-SI_5432-C0VURACXX	77328772	59219369
MO_1087-capt-SI_5598-D18NCACXX	72090068	60517697
MO_1098-capt-SI_5687-C19D0ACXX	66160019	51493489
PO_3024-capt-SI_6081-D1EBTACXX	59356049	48093453
PO_3024-capt-SI_6082-D1EBTACXX	61092195	51672420
MO_1265-capt-SI_7545-C2G8GACXX	66299066	50109715
MO_1279-capt-SI_7633-C2G5LACXX	69381090	42499138
TP_2017-capt-SI_5935-D1E2BACXX	81078831	62420532
TP_2029-capt-SI_6134-D1RGBACXX	64836773	45722622
MO_1088-capt-SI_5831-C19FGACXX	64766948	51608359
PO_3046-capt-SI_6941-D27KTACXX	74386891	67677734
MO_1067-capt-SI_5218-C0VTLACXX	100337185	74411125
MO_1375-capt-SI_8638-HAAACADXX	48408517	37623838
MO_1380-capt-SI_8696-C46V9ANXX	84180118	62190772
MO_1395-capt-SI_8847-C472VANXX	70254322	54242558
MO_1400-capt-SI_8889-C470TANXX	72427064	57296938
MO_1416-capt-SI_9228-C4R00ANXX	67628356	53484993
MO_1453-capt-SI_9939-C6EJUANXX	61914545	46337549
MO_1459-capt-SI_9991-C6EL5ANXX	56676996	39621206
MO_1476-capt-SI_10664-C6UPRANXX	66237248	46675885
MO_1477-capt-SI_10665-C6UPRANXX	63699693	45857106
MO_1480-capt-SI_10784-C6UV0ANXX	64617171	46604531
MO_1489-capt-SI_11010-C6T3EANXX	67047919	54973954
MO_1493-capt-SI_11089-C6T5LANXX	61965773	52766406
MO_1500-capt-SI_11308-C6V1BANXX	71778231	61282015
MO_1506-capt-SI_11423-HV75LADXX	100902960	76229691
MO_1520-capt-SI_11518-C7A2UANXX	65478214	56742189
TP_2100-capt-SI_11011-HK2MMADXX	73827612	65011858
TP_2075-capt-SI_10283-C6EKHANXX	61983147	45955015
MO_1138-capt-SI_6288-D1RTCACXX	43953848	34366560
MO_1464-capt-SI_10257-C6EJEANXX	63393025	46338341
Human_Normal_Tissues-capt-SI_13207-C8LJ8ANXX	38688256	22646560
MO_1313-capt-SI_7953-C475EANXX	72135138	56798199
MO_1313-capt-SI_7953-C4CW0ACXX	68087932	52922409
MO_1346-capt-SI_8386-C46LAANXX	60582622	52144204
MO_1346-capt-SI_8387-C46LAANXX	49167765	38412932
PO_3032-capt-SI_7636-D2GGHACXX	72161600	40354756
PO_3032-capt-SI_7637-C2G40ACXX	69132869	52543987
PO_3006-capt-SI_5274-C0W1LACXX	92751160	71985803
MO_1027-capt-SI_4864-C0EMJACXX	107092664	78306921
MO_1152-capt-SI_6471-C1M1KACXX	68461266	58211997
MO_1376-capt-SI_8655-HAA98ADXX	43080945	24701728
PO_3060-capt-SI_9608-C5MGWANXX	46365284	35310575
PO_3043-capt-SI_6864-D27KTACXX	70014902	56689679
PO_3045-capt-SI_6911-C2560ACXX	41109790	34749074
PO_3045-capt-SI_6911-H77PTADXX	40584961	33846957
MO_1304-capt-SI_7918-C4CRJACXX	66353420	56082098
MO_1307-capt-SI_7921-C4CADACXX	62438948	49198500
PO_3082-capt-SI_8402-C4L1DACXX	64574229	56366593
Human_Normal_Tissues-capt-SI_13210-C8LJ8ANXX	40570835	35392523
MO_1047-capt-SI_5057-D0UTEACXX	95319762	72434430
MO_1329-capt-SI_8189-C4JLUACXX	63823168	49369238
MO_1448-capt-SI_9809-C5N31ANXX	69253425	58622572
Human_Normal_Tissues-capt-SI_13215-C8LJ8ANXX	38004903	22422558
MO_1063-capt-SI_5215-C0VTMACXX	94455968	75151451
MO_1164-capt-SI_6569-D1RV8ACXX	65349000	53596781
MO_1214-capt-SI_7017-C26CMACXX	52099578	31187537
MO_1251-capt-SI_7544-C2G8GACXX	67752009	51134652
MO_1272-capt-SI_7598-D2GFBACXX	70246138	52880464
MO_1272-capt-SI_7740-C32VAACXX	77940007	59713818
MO_1522-capt-SI_11540-C7GBMANXX	69943817	59836353
MO_1530-capt-SI_11730-C7G60ANXX	71718647	63358270
PO_3015-capt-SI_5843-C19KAACXX	69407978	57968262
PO_3042-capt-SI_6793-H77P5ADXX	41981963	28511366
PO_3081-capt-SI_8249-C471RANXX	47709273	39720810
PO_3091-capt-SI_8700-C5AD4ACXX	71656214	53094420
PO_3104-capt-SI_9384-C5N1GANXX	64261071	50284645
TP_2011-capt-SI_5901-C19L8ACXX	69183622	51131072
MO_1100-capt-SI_5905-D1DPVACXX	65180005	56974859
MO_1100-capt-SI_7015-C26D8ACXX	68170809	57597036
MO_1026-capt-SI_4863-C0EMJACXX	91201493	64906518
MO_1488-capt-SI_11009-C6T3EANXX	67164265	50376029
MO_1479-capt-SI_10783-C6UV0ANXX	62223560	46174888
PO_3044-capt-SI_6910-C33JEACXX	19090261	15117393
PO_3044-capt-SI_6910-H77PTADXX	36985208	29110500
Human_Normal_Tissues-capt-SI_13204-C8LJ8ANXX	42767615	24590143
